"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"llLordSparkll","1","10","1","0","1","1","432.8168","4","2","4","7","alive","0","0","74.06019","9","1549","3746.2869","2982.9294","763.3575","-","1-llLordSparkll-koszz-Oboneco-vim_do_lite"
"koszz","1","2","4","0","2","1","364.03445","0","1","4","4","alive","1","0","184.92667","10","1549","3448.75935","2686.9048","761.85455","-","1-llLordSparkll-koszz-Oboneco-vim_do_lite"
"Oboneco","1","4","2","0","1","0","477.76135","2","2","2","6","alive","0","0","46.077045","13","1549","698.35928","434.42538","263.9339","-","1-llLordSparkll-koszz-Oboneco-vim_do_lite"
"vim_do_lite","1","17","0","0","0","0","129.05618","1","0","2","4","alive","0","0","-","12","1549","4144.33744","3388.46","755.87744","-","1-llLordSparkll-koszz-Oboneco-vim_do_lite"
"KaduzaoFPS","2","5","2","0","1","0","220.09218","1","1","3","1","byplayer","0","0","186.39786","8","1501","10562.7707","7750.5864","2812.1843","-","2-KaduzaoFPS-SargentoPE-0_justiceiro-Alex-Lives"
"SargentoPE","2","1","5","0","1","3","476.67453","2","6","0","5","byplayer","2","0","178.4135","9","1546","10873.4411","7934.853","2938.5881","-","2-KaduzaoFPS-SargentoPE-0_justiceiro-Alex-Lives"
"0_justiceiro","2","6","2","0","1","0","214.38365","0","1","4","5","byplayer","0","0","291.73862","10","1421","6175.502","6175.502","-","-","2-KaduzaoFPS-SargentoPE-0_justiceiro-Alex-Lives"
"Alex-Lives","2","18","0","0","0","0","303.5664","2","1","6","5","byplayer","1","0","-","10","1546","10344.687","7503.8364","2840.8506","-","2-KaduzaoFPS-SargentoPE-0_justiceiro-Alex-Lives"
"XxWarlockLFxX","3","19","0","0","0","0","85.261154","0","0","0","8","byplayer","0","0","-","12","1204","11706.7054","7461.8564","4244.849","-","3-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"Lukyne_marth3","3","20","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","596","7774.7487","4742.4526","3032.2961","-","3-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"JuizoFinaI","3","7","2","0","1","1","231.88014","0","1","3","5","byzone","0","0","21.631218","10","1469","12069.9331","7507.0137","4562.9194","-","3-XxWarlockLFxX-Lukyne_marth3-JuizoFinaI"
"Ibuprofeno_800mg","4","8","2","0","1","0","299.00165","1","1","2","3","byplayer","0","0","63.815792","14","1458","9774.4886","7710.138","2064.3506","-","4-Ibuprofeno_800mg-M4T4_BOI-Ypnus-MAGO12K"
"M4T4_BOI","4","3","3","0","2","1","403.14114","1","3","2","5","byplayer","1","0","58.60032","10","1450","9503.2072","7697.2925","1805.9147","-","4-Ibuprofeno_800mg-M4T4_BOI-Ypnus-MAGO12K"
"Ypnus","4","22","0","0","0","0","50.42486","1","0","1","5","byzone","2","0","-","11","1453","9708.8928","7631.3364","2077.5564","-","4-Ibuprofeno_800mg-M4T4_BOI-Ypnus-MAGO12K"
"MAGO12K","4","21","0","0","0","0","175.10463","0","1","2","3","byplayer","0","0","-","9","1455","9711.1323","7696.649","2014.4833","-","4-Ibuprofeno_800mg-M4T4_BOI-Ypnus-MAGO12K"
"Perobinha","5","11","1","0","1","1","186.16626","0","2","4","4","byplayer","1","0","16.381268","7","1312","6342.2796","5881","461.2796","-","5-Perobinha-AdriMau-xJMaRcox-Perobande"
"AdriMau","5","9","2","0","1","1","196.98915","1","2","2","6","byplayer","2","0","118.28888","7","1309","11648.3117","7542.944","4105.3677","-","5-Perobinha-AdriMau-xJMaRcox-Perobande"
"xJMaRcox","5","13","1","0","1","0","237.52228","0","2","7","2","byplayer","0","0","6.5932374","8","1249","9470.1937","6623.839","2846.3547","-","5-Perobinha-AdriMau-xJMaRcox-Perobande"
"Perobande","5","12","1","0","1","1","155.31218","0","1","3","5","byplayer","0","0","1.0058212","14","1302","11706.865","7568.06","4138.805","-","5-Perobinha-AdriMau-xJMaRcox-Perobande"
"PrivacKadall","6","25","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","13","1078","10347.6043","6261.564","4086.0403","-","6-PrivacKadall-nAsty--AnDreviZ-Spawnsbg"
"nAsty-","6","26","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","8","397","5295.8141","4198.1113","1097.7028","-","6-PrivacKadall-nAsty--AnDreviZ-Spawnsbg"
"AnDreviZ","6","23","0","0","0","0","26.4","0","0","0","2","byplayer","0","0","-","10","1427","11140.2817","5976.2427","5164.039","-","6-PrivacKadall-nAsty--AnDreviZ-Spawnsbg"
"Spawnsbg","6","24","0","0","0","0","0","0","0","2","4","byplayer","0","0","-","10","1365","11147.5003","6024.074","5123.4263","-","6-PrivacKadall-nAsty--AnDreviZ-Spawnsbg"
"LaygO_0","7","27","0","0","0","0","184.35336","0","1","0","1","byplayer","0","0","-","6","1346","12638.221","6727.794","5910.427","-","7-LaygO_0-sevenmaalkkj-decops12-BielCalvo00"
"sevenmaalkkj","7","29","0","0","0","0","0","0","0","10","2","byplayer","0","0","-","9","1341","12506.0217","7052.781","5453.2407","-","7-LaygO_0-sevenmaalkkj-decops12-BielCalvo00"
"decops12","7","30","0","0","0","0","61.807182","0","0","5","2","byplayer","0","0","-","10","1340","12048.4817","6862.759","5185.7227","-","7-LaygO_0-sevenmaalkkj-decops12-BielCalvo00"
"BielCalvo00","7","28","0","0","0","0","81.26387","0","0","0","3","byplayer","0","0","-","6","1343","11839.3891","6928.5864","4910.8027","-","7-LaygO_0-sevenmaalkkj-decops12-BielCalvo00"
"MatheusCenorao","8","33","0","0","0","0","158.49742","1","2","1","2","byplayer","0","0","-","11","1306","9199.59945","8333.621","865.97845","-","8-MatheusCenorao-El_gasolino-DEXXX777"
"El_gasolino","8","32","0","0","0","0","107.10363","1","0","0","2","byplayer","0","0","-","11","1314","9294.1065","8028.8926","1265.2139","-","8-MatheusCenorao-El_gasolino-DEXXX777"
"DEXXX777","8","31","0","0","0","0","122.42414","1","1","0","1","byplayer","0","0","-","11","1318","9582.3108","8424.287","1158.0238","-","8-MatheusCenorao-El_gasolino-DEXXX777"
"Master_CTA","9","14","1","0","1","0","241.82445","0","2","0","4","byplayer","0","0","12.018726","7","1042","8717.6676","7469.0117","1248.6559","-","9-Master_CTA-STRAT_FPS-MESTRE-MCS"
"STRAT_FPS","9","34","0","0","0","0","93.6","0","0","0","0","byplayer","0","0","-","2","108","7507.564","7507.564","-","-","9-Master_CTA-STRAT_FPS-MESTRE-MCS"
"MESTRE-MCS","9","35","0","0","0","0","12.960001","0","0","0","0","byplayer","0","0","-","0","77","-","-","-","-","9-Master_CTA-STRAT_FPS-MESTRE-MCS"
